"Time","Value"
2023-04-19 02:22:30,1.51
2023-04-19 02:22:40,1.51
2023-04-19 02:22:50,1.51
2023-04-19 02:23:00,1.51
2023-04-19 02:23:10,1.51
2023-04-19 02:23:20,1.51
2023-04-19 02:23:30,1.51
2023-04-19 02:23:40,1.51
2023-04-19 02:23:50,1.52
2023-04-19 02:24:00,1.52
2023-04-19 02:24:10,1.52
2023-04-19 02:24:20,1.52
2023-04-19 02:24:30,1.52
2023-04-19 02:24:40,1.52
2023-04-19 02:24:50,1.52
2023-04-19 02:25:00,1.52
2023-04-19 02:25:10,1.52
2023-04-19 02:25:20,1.53
2023-04-19 02:25:30,1.53
2023-04-19 02:25:40,1.53
2023-04-19 02:25:50,1.53
2023-04-19 02:26:00,1.53
2023-04-19 02:26:10,1.53
2023-04-19 02:26:20,1.53
2023-04-19 02:26:30,1.53
2023-04-19 02:26:40,1.53
2023-04-19 02:26:50,1.54
2023-04-19 02:27:00,1.54
2023-04-19 02:27:10,1.54
2023-04-19 02:27:20,1.54
2023-04-19 02:27:30,1.54
2023-04-19 02:27:40,1.54
2023-04-19 02:27:50,1.54
2023-04-19 02:28:00,1.54
2023-04-19 02:28:10,1.54
2023-04-19 02:28:20,1.54
2023-04-19 02:28:30,1.54
2023-04-19 02:28:40,1.55
2023-04-19 02:28:50,1.55
2023-04-19 02:29:00,1.55
2023-04-19 02:29:10,1.55
2023-04-19 02:29:20,1.55
2023-04-19 02:29:30,1.55
2023-04-19 02:29:40,1.55
2023-04-19 02:29:50,1.55
2023-04-19 02:30:00,1.55
2023-04-19 02:30:10,1.56
2023-04-19 02:30:20,1.56
2023-04-19 02:30:30,1.56
2023-04-19 02:30:40,1.56
2023-04-19 02:30:50,1.56
2023-04-19 02:31:00,1.56
2023-04-19 02:31:10,1.56
2023-04-19 02:31:20,1.56
2023-04-19 02:31:30,1.56
2023-04-19 02:31:40,1.56
2023-04-19 02:31:50,1.57
2023-04-19 02:32:00,0.383
2023-04-19 02:32:10,0.384
2023-04-19 02:32:20,0.385
2023-04-19 02:32:30,0.387
2023-04-19 02:32:40,0.388
2023-04-19 02:32:50,0.390
2023-04-19 02:33:00,0.391
2023-04-19 02:33:10,0.392
2023-04-19 02:33:20,0.394
2023-04-19 02:33:30,0.395
2023-04-19 02:33:40,0.396
2023-04-19 02:33:50,0.398
2023-04-19 02:34:00,0.399
2023-04-19 02:34:10,0.401
2023-04-19 02:34:20,0.402
2023-04-19 02:34:30,0.405
2023-04-19 02:34:40,0.408
2023-04-19 02:34:50,0.410
2023-04-19 02:35:00,0.413
2023-04-19 02:35:10,0.416
2023-04-19 02:35:20,0.418
2023-04-19 02:35:30,0.421
2023-04-19 02:35:40,0.423
2023-04-19 02:35:50,0.426
2023-04-19 02:36:00,0.428
2023-04-19 02:36:10,0.431
2023-04-19 02:36:20,0.433
2023-04-19 02:36:30,0.436
2023-04-19 02:36:40,0.438
2023-04-19 02:36:50,0.441
2023-04-19 02:37:00,0.443
2023-04-19 02:37:10,0.446
2023-04-19 02:37:20,0.448
2023-04-19 02:37:30,0.451
2023-04-19 02:37:40,0.453
2023-04-19 02:37:50,0.456
2023-04-19 02:38:00,0.458
2023-04-19 02:38:10,0.461
2023-04-19 02:38:20,0.463
2023-04-19 02:38:30,0.465
2023-04-19 02:38:40,0.468
2023-04-19 02:38:50,0.470
2023-04-19 02:39:00,0.473
2023-04-19 02:39:10,0.475
2023-04-19 02:39:20,0.478
2023-04-19 02:39:30,0.480
2023-04-19 02:39:40,0.483
2023-04-19 02:39:50,0.485
2023-04-19 02:40:00,0.488
2023-04-19 02:40:10,0.490
2023-04-19 02:40:20,0.493
2023-04-19 02:40:30,0.495
2023-04-19 02:40:40,0.498
2023-04-19 02:40:50,0.500
2023-04-19 02:41:00,0.503
2023-04-19 02:41:10,0.505
2023-04-19 02:41:20,0.508
2023-04-19 02:41:30,0.510
2023-04-19 02:41:40,0.512
2023-04-19 02:41:50,0.515
2023-04-19 02:42:00,0.517
2023-04-19 02:42:10,0.520
2023-04-19 02:42:20,0.522
2023-04-19 02:42:30,0.525
2023-04-19 02:42:40,0.527
2023-04-19 02:42:50,0.530
2023-04-19 02:43:00,0.532
2023-04-19 02:43:10,0.534
2023-04-19 02:43:20,0.537
2023-04-19 02:43:30,0.539
2023-04-19 02:43:40,0.542
2023-04-19 02:43:50,0.544
2023-04-19 02:44:00,0.547
2023-04-19 02:44:10,0.549
2023-04-19 02:44:20,0.552
2023-04-19 02:44:30,0.554
2023-04-19 02:44:40,0.557
2023-04-19 02:44:50,0.559
2023-04-19 02:45:00,0.562
2023-04-19 02:45:10,0.564
2023-04-19 02:45:20,0.567
2023-04-19 02:45:30,0.569
2023-04-19 02:45:40,0.572
2023-04-19 02:45:50,0.574
2023-04-19 02:46:00,0.577
2023-04-19 02:46:10,0.579
2023-04-19 02:46:20,0.582
2023-04-19 02:46:30,0.584
2023-04-19 02:46:40,0.587
2023-04-19 02:46:50,0.589
2023-04-19 02:47:00,0.592
2023-04-19 02:47:10,0.594
2023-04-19 02:47:20,0.597
2023-04-19 02:47:30,0.599
2023-04-19 02:47:40,0.602
2023-04-19 02:47:50,0.604
2023-04-19 02:48:00,0.607
2023-04-19 02:48:10,0.609
2023-04-19 02:48:20,0.612
2023-04-19 02:48:30,0.614
2023-04-19 02:48:40,0.617
2023-04-19 02:48:50,0.619
2023-04-19 02:49:00,0.622
2023-04-19 02:49:10,0.624
2023-04-19 02:49:20,0.627
2023-04-19 02:49:30,0.629
2023-04-19 02:49:40,0.632
2023-04-19 02:49:50,0.634
2023-04-19 02:50:00,0.637
2023-04-19 02:50:10,0.639
2023-04-19 02:50:20,0.641
2023-04-19 02:50:30,0.643
2023-04-19 02:50:40,0.645
2023-04-19 02:50:50,0.646
2023-04-19 02:51:00,0.648
2023-04-19 02:51:10,0.649
2023-04-19 02:51:20,0.651
2023-04-19 02:51:30,0.652
2023-04-19 02:51:40,0.653
2023-04-19 02:51:50,0.655
2023-04-19 02:52:00,0.656
2023-04-19 02:52:10,0.657
2023-04-19 02:52:20,0.659
2023-04-19 02:52:30,0.660
2023-04-19 02:52:40,0.662
2023-04-19 02:52:50,0.663
2023-04-19 02:53:00,0.664
2023-04-19 02:53:10,0.666
2023-04-19 02:53:20,0.667
2023-04-19 02:53:30,0.669
2023-04-19 02:53:40,0.670
2023-04-19 02:53:50,0.671
2023-04-19 02:54:00,0.673
2023-04-19 02:54:10,0.674
2023-04-19 02:54:20,0.676
2023-04-19 02:54:30,0.677
2023-04-19 02:54:40,0.678
2023-04-19 02:54:50,0.680
2023-04-19 02:55:00,0.681
2023-04-19 02:55:10,0.682
2023-04-19 02:55:20,0.684
2023-04-19 02:55:30,0.685
2023-04-19 02:55:40,0.687
2023-04-19 02:55:50,0.688
2023-04-19 02:56:00,0.689
2023-04-19 02:56:10,0.691
2023-04-19 02:56:20,0.692
2023-04-19 02:56:30,0.694
2023-04-19 02:56:40,0.695
2023-04-19 02:56:50,0.696
2023-04-19 02:57:00,0.698
2023-04-19 02:57:10,0.699
2023-04-19 02:57:20,0.701
2023-04-19 02:57:30,0.702
2023-04-19 02:57:40,0.703
2023-04-19 02:57:50,0.705
2023-04-19 02:58:00,0.706
2023-04-19 02:58:10,0.708
2023-04-19 02:58:20,0.709
2023-04-19 02:58:30,0.710
2023-04-19 02:58:40,0.712
2023-04-19 02:58:50,0.713
2023-04-19 02:59:00,0.715
2023-04-19 02:59:10,0.716
2023-04-19 02:59:20,0.717
2023-04-19 02:59:30,0.719
2023-04-19 02:59:40,0.720
2023-04-19 02:59:50,0.722
2023-04-19 03:00:00,0.723
2023-04-19 03:00:10,0.724
2023-04-19 03:00:20,0.726
2023-04-19 03:00:30,0.727
2023-04-19 03:00:40,0.729
2023-04-19 03:00:50,0.730
2023-04-19 03:01:00,0.731
2023-04-19 03:01:10,0.733
2023-04-19 03:01:20,0.734
2023-04-19 03:01:30,0.735
2023-04-19 03:01:40,0.737
2023-04-19 03:01:50,0.738
2023-04-19 03:02:00,0.740
2023-04-19 03:02:10,0.741
2023-04-19 03:02:20,0.742
2023-04-19 03:02:30,0.744
2023-04-19 03:02:40,0.745
2023-04-19 03:02:50,0.747
2023-04-19 03:03:00,0.748
2023-04-19 03:03:10,0.751
2023-04-19 03:03:20,0.754
2023-04-19 03:03:30,0.756
2023-04-19 03:03:40,0.759
2023-04-19 03:03:50,0.762
2023-04-19 03:04:00,0.764
2023-04-19 03:04:10,0.767
2023-04-19 03:04:20,0.769
2023-04-19 03:04:30,0.772
2023-04-19 03:04:40,0.774
2023-04-19 03:04:50,0.776
2023-04-19 03:05:00,0.779
2023-04-19 03:05:10,0.781
2023-04-19 03:05:20,0.783
2023-04-19 03:05:30,0.786
2023-04-19 03:05:40,0.788
2023-04-19 03:05:50,0.790
2023-04-19 03:06:00,0.792
2023-04-19 03:06:10,0.795
2023-04-19 03:06:20,0.797
2023-04-19 03:06:30,0.799
2023-04-19 03:06:40,0.801
2023-04-19 03:06:50,0.803
2023-04-19 03:07:00,0.806
2023-04-19 03:07:10,0.808
2023-04-19 03:07:20,0.810
2023-04-19 03:07:30,0.812
2023-04-19 03:07:40,0.814
2023-04-19 03:07:50,0.817
2023-04-19 03:08:00,0.819
2023-04-19 03:08:10,0.821
2023-04-19 03:08:20,0.824
2023-04-19 03:08:30,0.826
2023-04-19 03:08:40,0.828
2023-04-19 03:08:50,0.830
2023-04-19 03:09:00,0.833
2023-04-19 03:09:10,0.835
2023-04-19 03:09:20,0.837
2023-04-19 03:09:30,0.839
2023-04-19 03:09:40,0.842
2023-04-19 03:09:50,0.844
2023-04-19 03:10:00,0.846
2023-04-19 03:10:10,0.849
2023-04-19 03:10:20,0.851
2023-04-19 03:10:30,0.853
2023-04-19 03:10:40,0.856
2023-04-19 03:10:50,0.858
2023-04-19 03:11:00,0.860
2023-04-19 03:11:10,0.862
2023-04-19 03:11:20,0.865
2023-04-19 03:11:30,0.867
2023-04-19 03:11:40,0.869
2023-04-19 03:11:50,0.872
2023-04-19 03:12:00,0.874
2023-04-19 03:12:10,0.876
2023-04-19 03:12:20,0.878
2023-04-19 03:12:30,0.881
2023-04-19 03:12:40,0.883
2023-04-19 03:12:50,0.885
2023-04-19 03:13:00,0.887
2023-04-19 03:13:10,0.890
2023-04-19 03:13:20,0.892
2023-04-19 03:13:30,0.894
2023-04-19 03:13:40,0.896
2023-04-19 03:13:50,0.898
2023-04-19 03:14:00,0.901
2023-04-19 03:14:10,0.903
2023-04-19 03:14:20,0.905
2023-04-19 03:14:30,0.907
2023-04-19 03:14:40,0.910
2023-04-19 03:14:50,0.912
2023-04-19 03:15:00,0.914
2023-04-19 03:15:10,0.916
2023-04-19 03:15:20,0.919
2023-04-19 03:15:30,0.921
2023-04-19 03:15:40,0.923
2023-04-19 03:15:50,0.925
2023-04-19 03:16:00,0.928
2023-04-19 03:16:10,0.930
2023-04-19 03:16:20,0.932
2023-04-19 03:16:30,0.935
2023-04-19 03:16:40,0.937
2023-04-19 03:16:50,0.939
2023-04-19 03:17:00,0.941
2023-04-19 03:17:10,0.944
2023-04-19 03:17:20,0.946
2023-04-19 03:17:30,0.948
2023-04-19 03:17:40,0.950
2023-04-19 03:17:50,0.953
2023-04-19 03:18:00,0.955
2023-04-19 03:18:10,0.957
2023-04-19 03:18:20,0.960
2023-04-19 03:18:30,0.962
2023-04-19 03:18:40,0.964
2023-04-19 03:18:50,0.966
2023-04-19 03:19:00,0.969
2023-04-19 03:19:10,0.971
2023-04-19 03:19:20,0.973
2023-04-19 03:19:30,0.974
2023-04-19 03:19:40,0.976
2023-04-19 03:19:50,0.977
2023-04-19 03:20:00,0.979
2023-04-19 03:20:10,0.980
2023-04-19 03:20:20,0.981
2023-04-19 03:20:30,0.983
2023-04-19 03:20:40,0.984
2023-04-19 03:20:50,0.986
2023-04-19 03:21:00,0.987
2023-04-19 03:21:10,0.988
2023-04-19 03:21:20,0.990
2023-04-19 03:21:30,0.991
2023-04-19 03:21:40,0.993
2023-04-19 03:21:50,0.994
2023-04-19 03:22:00,0.995
2023-04-19 03:22:10,0.997
2023-04-19 03:22:20,0.998
2023-04-19 03:22:30,0.999
2023-04-19 03:22:40,1.00
2023-04-19 03:22:50,1.00
2023-04-19 03:23:00,1.00
2023-04-19 03:23:10,1.01
2023-04-19 03:23:20,1.01
2023-04-19 03:23:30,1.01
2023-04-19 03:23:40,1.01
2023-04-19 03:23:50,1.01
2023-04-19 03:24:00,1.01
2023-04-19 03:24:10,1.01
2023-04-19 03:24:20,1.01
2023-04-19 03:24:30,1.02
2023-04-19 03:24:40,1.02
2023-04-19 03:24:50,1.02
2023-04-19 03:25:00,1.02
2023-04-19 03:25:10,1.02
2023-04-19 03:25:20,1.02
2023-04-19 03:25:30,1.02
2023-04-19 03:25:40,1.03
2023-04-19 03:25:50,1.03
2023-04-19 03:26:00,1.03
2023-04-19 03:26:10,1.03
2023-04-19 03:26:20,1.03
2023-04-19 03:26:30,1.03
2023-04-19 03:26:40,1.03
2023-04-19 03:26:50,1.04
2023-04-19 03:27:00,1.04
2023-04-19 03:27:10,1.04
2023-04-19 03:27:20,1.04
2023-04-19 03:27:30,1.04
2023-04-19 03:27:40,1.04
2023-04-19 03:27:50,1.04
2023-04-19 03:28:00,1.05
2023-04-19 03:28:10,1.05
2023-04-19 03:28:20,1.05
2023-04-19 03:28:30,1.05
2023-04-19 03:28:40,1.05
2023-04-19 03:28:50,1.05
2023-04-19 03:29:00,1.05
2023-04-19 03:29:10,1.06
2023-04-19 03:29:20,1.06
2023-04-19 03:29:30,1.06
2023-04-19 03:29:40,1.06
2023-04-19 03:29:50,1.06
2023-04-19 03:30:00,1.06
2023-04-19 03:30:10,1.06
2023-04-19 03:30:20,1.07
2023-04-19 03:30:30,1.07
2023-04-19 03:30:40,1.07
2023-04-19 03:30:50,1.07
2023-04-19 03:31:00,1.07
2023-04-19 03:31:10,1.07
2023-04-19 03:31:20,1.07
2023-04-19 03:31:30,1.08
2023-04-19 03:31:40,1.08
2023-04-19 03:31:50,1.08
2023-04-19 03:32:00,1.08
2023-04-19 03:32:10,1.08
2023-04-19 03:32:20,1.08
2023-04-19 03:32:30,1.08
2023-04-19 03:32:40,1.09
2023-04-19 03:32:50,1.09
2023-04-19 03:33:00,1.09
2023-04-19 03:33:10,1.09
2023-04-19 03:33:20,1.09
2023-04-19 03:33:30,1.09
2023-04-19 03:33:40,1.10
2023-04-19 03:33:50,1.10
2023-04-19 03:34:00,1.10
2023-04-19 03:34:10,1.10
2023-04-19 03:34:20,1.11
2023-04-19 03:34:30,1.11
2023-04-19 03:34:40,1.11
2023-04-19 03:34:50,1.11
2023-04-19 03:35:00,1.12
2023-04-19 03:35:10,1.12
2023-04-19 03:35:20,1.12
2023-04-19 03:35:30,1.12
2023-04-19 03:35:40,1.13
2023-04-19 03:35:50,1.13
2023-04-19 03:36:00,1.13
2023-04-19 03:36:10,1.13
2023-04-19 03:36:20,1.14
2023-04-19 03:36:30,1.14
2023-04-19 03:36:40,1.14
2023-04-19 03:36:50,1.14
2023-04-19 03:37:00,1.15
2023-04-19 03:37:10,1.15
2023-04-19 03:37:20,1.15
2023-04-19 03:37:30,1.15
2023-04-19 03:37:40,1.16
2023-04-19 03:37:50,1.16
2023-04-19 03:38:00,1.16
2023-04-19 03:38:10,1.16
2023-04-19 03:38:20,1.17
2023-04-19 03:38:30,1.17
2023-04-19 03:38:40,1.17
2023-04-19 03:38:50,1.17
2023-04-19 03:39:00,1.18
2023-04-19 03:39:10,1.18
2023-04-19 03:39:20,1.18
2023-04-19 03:39:30,1.18
2023-04-19 03:39:40,1.19
2023-04-19 03:39:50,1.19
2023-04-19 03:40:00,1.19
2023-04-19 03:40:10,1.19
2023-04-19 03:40:20,1.20
2023-04-19 03:40:30,1.20
2023-04-19 03:40:40,1.20
2023-04-19 03:40:50,1.20
2023-04-19 03:41:00,1.21
2023-04-19 03:41:10,1.21
2023-04-19 03:41:20,1.21
2023-04-19 03:41:30,1.21
2023-04-19 03:41:40,1.22
2023-04-19 03:41:50,1.22
2023-04-19 03:42:00,1.22
2023-04-19 03:42:10,1.22
2023-04-19 03:42:20,1.23
2023-04-19 03:42:30,1.23
2023-04-19 03:42:40,1.23
2023-04-19 03:42:50,1.23
2023-04-19 03:43:00,1.23
2023-04-19 03:43:10,1.24
2023-04-19 03:43:20,1.24
2023-04-19 03:43:30,1.24
2023-04-19 03:43:40,1.24
2023-04-19 03:43:50,1.25
2023-04-19 03:44:00,1.25
2023-04-19 03:44:10,1.25
2023-04-19 03:44:20,1.25
2023-04-19 03:44:30,1.26
2023-04-19 03:44:40,1.26
2023-04-19 03:44:50,1.26
2023-04-19 03:45:00,1.26
2023-04-19 03:45:10,1.27
2023-04-19 03:45:20,1.27
2023-04-19 03:45:30,1.27
2023-04-19 03:45:40,1.27
2023-04-19 03:45:50,1.28
2023-04-19 03:46:00,1.28
2023-04-19 03:46:10,1.28
2023-04-19 03:46:20,1.28
2023-04-19 03:46:30,1.29
2023-04-19 03:46:40,1.29
2023-04-19 03:46:50,1.29
2023-04-19 03:47:00,1.29
2023-04-19 03:47:10,1.30
2023-04-19 03:47:20,1.30
2023-04-19 03:47:30,1.30
2023-04-19 03:47:40,1.30
2023-04-19 03:47:50,1.31
2023-04-19 03:48:00,1.31
2023-04-19 03:48:10,1.31
2023-04-19 03:48:20,1.31
2023-04-19 03:48:30,1.32
2023-04-19 03:48:40,1.32
2023-04-19 03:48:50,1.32
2023-04-19 03:49:00,1.32
2023-04-19 03:49:10,1.33
2023-04-19 03:49:20,1.33
2023-04-19 03:49:30,1.33
2023-04-19 03:49:40,1.33
2023-04-19 03:49:50,1.34
2023-04-19 03:50:00,1.34
2023-04-19 03:50:10,1.34
2023-04-19 03:50:20,1.34
2023-04-19 03:50:30,1.34
2023-04-19 03:50:40,1.34
2023-04-19 03:50:50,1.34
2023-04-19 03:51:00,1.35
2023-04-19 03:51:10,1.35
2023-04-19 03:51:20,1.35
2023-04-19 03:51:30,1.35
2023-04-19 03:51:40,1.35
2023-04-19 03:51:50,1.35
2023-04-19 03:52:00,1.35
2023-04-19 03:52:10,1.36
2023-04-19 03:52:20,1.36
2023-04-19 03:52:30,1.36
2023-04-19 03:52:40,1.36
2023-04-19 03:52:50,1.36
2023-04-19 03:53:00,1.36
2023-04-19 03:53:10,1.36
2023-04-19 03:53:20,1.37
2023-04-19 03:53:30,1.37
2023-04-19 03:53:40,1.37
2023-04-19 03:53:50,1.37
2023-04-19 03:54:00,1.37
2023-04-19 03:54:10,1.37
2023-04-19 03:54:20,1.37
2023-04-19 03:54:30,1.38
2023-04-19 03:54:40,1.38
2023-04-19 03:54:50,1.38
2023-04-19 03:55:00,1.38
2023-04-19 03:55:10,1.38
2023-04-19 03:55:20,1.38
2023-04-19 03:55:30,1.38
2023-04-19 03:55:40,1.39
2023-04-19 03:55:50,1.39
2023-04-19 03:56:00,1.39
2023-04-19 03:56:10,1.39
2023-04-19 03:56:20,1.39
2023-04-19 03:56:30,1.39
2023-04-19 03:56:40,1.39
2023-04-19 03:56:50,1.40
2023-04-19 03:57:00,1.40
2023-04-19 03:57:10,1.40
2023-04-19 03:57:20,1.40
2023-04-19 03:57:30,1.40
2023-04-19 03:57:40,1.40
2023-04-19 03:57:50,1.40
2023-04-19 03:58:00,1.41
2023-04-19 03:58:10,1.41
2023-04-19 03:58:20,1.41
2023-04-19 03:58:30,1.41
2023-04-19 03:58:40,1.41
2023-04-19 03:58:50,1.41
2023-04-19 03:59:00,1.41
2023-04-19 03:59:10,1.42
2023-04-19 03:59:20,1.42
2023-04-19 03:59:30,1.42
2023-04-19 03:59:40,1.42
2023-04-19 03:59:50,1.42
2023-04-19 04:00:00,1.42
2023-04-19 04:00:10,1.42
2023-04-19 04:00:20,1.43
2023-04-19 04:00:30,1.43
2023-04-19 04:00:40,1.43
2023-04-19 04:00:50,1.43
2023-04-19 04:01:00,1.43
2023-04-19 04:01:10,1.43
2023-04-19 04:01:20,1.43
2023-04-19 04:01:30,1.44
2023-04-19 04:01:40,1.44
2023-04-19 04:01:50,1.44
2023-04-19 04:02:00,1.44
2023-04-19 04:02:10,1.44
2023-04-19 04:02:20,1.44
2023-04-19 04:02:30,1.44
2023-04-19 04:02:40,1.45
2023-04-19 04:02:50,1.45
2023-04-19 04:03:00,1.45
2023-04-19 04:03:10,1.45
2023-04-19 04:03:20,1.45
2023-04-19 04:03:30,1.45
2023-04-19 04:03:40,1.45
2023-04-19 04:03:50,1.46
2023-04-19 04:04:00,1.46
2023-04-19 04:04:10,1.46
2023-04-19 04:04:20,1.46
2023-04-19 04:04:30,1.46
2023-04-19 04:04:40,1.46
2023-04-19 04:04:50,1.46
2023-04-19 04:05:00,1.47
2023-04-19 04:05:10,1.47
2023-04-19 04:05:20,1.47
2023-04-19 04:05:30,1.47
2023-04-19 04:05:40,1.47
2023-04-19 04:05:50,1.47
2023-04-19 04:06:00,1.47
2023-04-19 04:06:10,1.48
2023-04-19 04:06:20,1.48
2023-04-19 04:06:30,1.48
2023-04-19 04:06:40,1.48
2023-04-19 04:06:50,1.48
2023-04-19 04:07:00,1.48
2023-04-19 04:07:10,1.48
2023-04-19 04:07:20,1.49
2023-04-19 04:07:30,1.49
2023-04-19 04:07:40,1.49
2023-04-19 04:07:50,1.49
2023-04-19 04:08:00,1.49
2023-04-19 04:08:10,1.49
2023-04-19 04:08:20,1.49
2023-04-19 04:08:30,1.50
2023-04-19 04:08:40,1.50
2023-04-19 04:08:50,1.50
2023-04-19 04:09:00,1.50
2023-04-19 04:09:10,1.50
2023-04-19 04:09:20,1.50
2023-04-19 04:09:30,1.50
2023-04-19 04:09:40,1.50
2023-04-19 04:09:50,1.50
2023-04-19 04:10:00,1.50
2023-04-19 04:10:10,1.50
2023-04-19 04:10:20,1.50
2023-04-19 04:10:30,1.50
2023-04-19 04:10:40,1.50
2023-04-19 04:10:50,1.50
2023-04-19 04:11:00,1.50
2023-04-19 04:11:10,1.50
2023-04-19 04:11:20,1.50
2023-04-19 04:11:30,1.50
2023-04-19 04:11:40,1.50
2023-04-19 04:11:50,1.50
2023-04-19 04:12:00,1.50
2023-04-19 04:12:10,1.50
2023-04-19 04:12:20,1.50
2023-04-19 04:12:30,1.50
2023-04-19 04:12:40,1.50
2023-04-19 04:12:50,1.50
2023-04-19 04:13:00,1.50
2023-04-19 04:13:10,1.50
2023-04-19 04:13:20,1.50
2023-04-19 04:13:30,1.50
2023-04-19 04:13:40,1.50
2023-04-19 04:13:50,1.50
2023-04-19 04:14:00,1.50
2023-04-19 04:14:10,1.50

